번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1374261,화로상회 성남복정점,영업/정상,경기도 성남시 수정구 복정동 714-2 승룡빌딩 1층,211193.52985383,439054.82004995,식육(숯불구이)
1375442,버거스캔들 성남복정점,영업/정상,경기도 성남시 수정구 복정동 694-9 늘푸른빌딩 1층 일부,211186.725217345,439199.22730315,경양식
1376286,교맥동 성남복정점,영업/정상,경기도 성남시 수정구 복정동 690-3 1층 전부,211177.790161305,439494.460581913,중국식
1380031,포시애틀(동서울대점),영업/정상,경기도 성남시 수정구 복정동 686-1 1층 일부(103호),211155.537627516,439655.795196186,한식
1385347,비에이치씨가천대점,영업/정상,경기도 성남시 수정구 복정동 690-4 1층,211180.457241372,439484.519868874,호프/통닭
1389441,에티컬테이블,영업/정상,경기도 성남시 수정구 복정동 685-11 지산빌딩 2층 일부,211128.185505916,439558.517945429,경양식
1451338,떡볶이닭,영업/정상,경기도 성남시 수정구 복정동 709 1층 일부,211219.188794205,439173.621446265,분식
1457976,밥밥WITH(위드)한커피,영업/정상,경기도 성남시 수정구 복정동 696-3 1층 101호,211217.481888176,439247.668026838,한식
1459521,파라파파,영업/정상,경기도 성남시 수정구 복정동 705-9 1층 일부(102호),211363.317412202,439211.901287857,한식
1461046,풀문카페,영업/정상,경기도 성남시 수정구 복정동 689-2 1층 일부,211143.76508975,439486.163389556,경양식
1502964,대박식당,영업/정상,경기도 성남시 수정구 복정동 631-1 1층 일부,211400.410581273,440599.445926001,한식
1511522,철뚝집 복정동점,영업/정상,"경기도 성남시 수정구 복정동 646-5 정원빌딩, 1층 일부",211192.119652243,440328.55422674,식육(숯불구이)
1522227,프레시크레딧 카페테리아 복정역점,영업/정상,경기도 성남시 수정구 복정동 645-5 조은빌딩 1(일부)층,211155.622394337,440281.369909063,분식
1532822,북경성반점,영업/정상,경기도 성남시 수정구 복정동 678-4 1층,211166.321827876,439872.615181198,중국식
1534675,육마니1,영업/정상,경기도 성남시 수정구 복정동 696-6 지하1층 일부,211219.841395166,439197.171563244,한식
1534676,유가네한우곰탕 가천대점,영업/정상,경기도 성남시 수정구 복정동 696-6 1층,211219.841395166,439197.171563244,한식
1536783,구럼비,영업/정상,경기도 성남시 수정구 복정동 706-9 1층 일부,211298.384407949,439240.394907879,기타
1542759,바다횟집,영업/정상,경기도 성남시 수정구 복정동 696-3 1층,211217.481888176,439247.668026838,한식
1542829,푸른바다횟집,영업/정상,경기도 성남시 수정구 복정동 690번지 지층,211168.504548635,439533.776438509,한식
1543087,미자네신림동백순대,영업/정상,경기도 성남시 수정구 복정동 646-1 1층 일부,211212.408626552,440347.995787843,한식
1543258,응암역소문난순대국,영업/정상,경기도 성남시 수정구 복정동 646번지 1층,211193.33844307,440349.33492833,한식
1543462,아지트,영업/정상,경기도 성남시 수정구 복정동 709-7번지 1층,211314.571622512,439177.659969871,호프/통닭
1543920,카페디토 Cafe Ditto,영업/정상,경기도 성남시 수정구 복정동 674-1 1층,211136.457353288,439952.168866573,기타
1545616,가천 컨벤션센터,영업/정상,경기도 성남시 수정구 복정동 620-2 가천대학교 MEP동 7층,211380.301034505,438771.218762507,한식
1546175,까치골가든,영업/정상,경기도 성남시 수정구 복정동 459번지 1층,210949.103477912,439625.717400199,한식
1564651,역전할머니맥 동서울대점,영업/정상,경기도 성남시 수정구 복정동 685-9 미주빌딩 1층,211124.700563516,439587.258426001,호프/통닭
1565345,미사칼국수 성남복정점,영업/정상,경기도 성남시 수정구 복정동 643-4 청림빌딩 1층 일부,211139.98897604,440399.090960534,한식
1573544,버거부기,영업/정상,경기도 성남시 수정구 복정동 689-7 1층 일부(105호),211162.283100896,439419.364424785,경양식
1586061,나누리푸드 성남점,영업/정상,경기도 성남시 수정구 복정동 126,211922.044433428,439730.291560315,한식
1594258,오시오부대찌개,영업/정상,경기도 성남시 수정구 복정동 643-4 청림빌딩 1(일부)층,211139.98897604,440399.090960534,한식
1595379,포트리스쌀국수 복정점,영업/정상,경기도 성남시 수정구 복정동 652-1 1층 일부,211314.489915703,440293.564683974,경양식
1606854,코코후라이드,영업/정상,경기도 성남시 수정구 복정동 660-16 1층(일부),211204.128272624,440148.217866665,호프/통닭
1607467,연식당,영업/정상,경기도 성남시 수정구 복정동 645-10 1층 일부,211152.25519604,440195.871138977,냉면집
1608639,돈돈이네,영업/정상,"경기도 성남시 수정구 복정동 694-5 야정빌딩,1층",211183.351005626,439265.812573228,식육(숯불구이)
1616368,찌마기,영업/정상,"경기도 성남시 수정구 복정동 645-8 태영빌딩, 1층",211153.72636373,440233.204156768,한식
1619064,밥마리 김밥,영업/정상,경기도 성남시 수정구 복정동 686-1번지 1층,211155.537627516,439655.795196186,한식
1619529,행복한식뷔페,영업/정상,경기도 성남시 수정구 복정동 695-1 지1층,211215.316869501,439324.034617461,한식
1619669,전식당,영업/정상,경기도 성남시 수정구 복정동 715-2번지 1층,211222.598623627,439065.53268039,한식
1620328,봉구통닭,영업/정상,경기도 성남시 수정구 복정동 689-4번지 1층,211150.648220138,439461.373416844,호프/통닭
1620329,알촌 가천대 직영점,영업/정상,경기도 성남시 수정구 복정동 709 1층,211219.188794205,439173.621446265,한식
1620355,제생삼겹살 부대찌게,영업/정상,경기도 성남시 수정구 복정동 647번지,211192.147205721,440296.545830878,식육(숯불구이)
1620534,쌈촌,영업/정상,경기도 성남시 수정구 복정동 689-2번지 2층,211143.76508975,439486.163389556,한식
1620900,옛날통닭 부뚜막치킨 복정점,영업/정상,경기도 성남시 수정구 복정동 690-6번지 1층,211188.934866996,439453.992356914,통닭(치킨)
1620943,홍미단 성남복정점,영업/정상,경기도 성남시 수정구 복정동 686-3,211156.199123491,439628.869185922,분식
1621119,생선한마리,영업/정상,경기도 성남시 수정구 복정동 647-6번지 1층,211189.064370094,440221.508480052,한식
1621243,금성반점,영업/정상,경기도 성남시 수정구 복정동 715-13번지 1층,211237.714171576,439094.314864976,중국식
1621275,귀한족발,영업/정상,경기도 성남시 수정구 복정동 689-7번지 외1필지 1층,211162.283100896,439419.364424785,한식
1621434,둥근달,영업/정상,경기도 성남시 수정구 복정동 689-2 1층,211143.76508975,439486.163389556,한식
1621476,이가손칼국수,영업/정상,경기도 성남시 수정구 복정동 686-3 1층,211156.199123491,439628.869185922,한식
1622788,()선목 카페코이노리지점,영업/정상,경기도 성남시 수정구 복정동 642 DM빌딩지하1층,211153.706073514,440589.847825066,까페
1623765,포크포크,영업/정상,경기도 성남시 수정구 복정동 696-1번지 102호,211216.093221934,439279.878901551,식육(숯불구이)
1624103,현 짜장,영업/정상,경기도 성남시 수정구 복정동 677-4번지 1층,211126.739887543,439810.700261846,중국식
1624853,카페 콩더하기콩,영업/정상,경기도 성남시 수정구 복정동 692번지 1층,211203.420911757,439400.174777339,까페
1625724,중림,영업/정상,경기도 성남시 수정구 복정동 645-6번지,211155.055292667,440267.011801234,중국식
1626840,파인쿡,영업/정상,경기도 성남시 수정구 복정동 696-1번지 1층,211216.093221934,439279.878901551,호프/통닭
1627936,비내리는 벚꽃포차,영업/정상,"경기도 성남시 수정구 복정동 714-2번지 승룡빌딩,지하1층",211193.52985383,439054.82004995,기타
1628158,수국집,영업/정상,경기도 성남시 수정구 복정동 692-12 1층,211255.135282465,439384.126410016,정종/대포집/소주방
1628428,복정로10술집,영업/정상,경기도 성남시 수정구 복정동 715-1 1층,211222.054568476,439078.140289814,정종/대포집/소주방
1629646,동키치킨,영업/정상,경기도 성남시 수정구 복정동 696-2번지 (1층),211216.759506837,439264.644179945,통닭(치킨)
1629994,스타동,영업/정상,경기도 성남시 수정구 복정동 689-5 1층,211154.527073984,439447.340497011,일식
1630241,치킨플러스,영업/정상,경기도 성남시 수정구 복정동 686-5 1층,211157.121598787,439611.885992585,호프/통닭
1630407,업&다운,영업/정상,경기도 성남시 수정구 복정동 690번지 1층,211168.504548635,439533.776438509,통닭(치킨)
1630704,감초식당,영업/정상,경기도 성남시 수정구 복정동 678-1번지 1층,211169.227444893,439915.08053447,한식
1631338,텐션,영업/정상,경기도 성남시 수정구 복정동 689-5 외1필지,211154.527073984,439447.340497011,경양식
1631662,맘보,영업/정상,경기도 성남시 수정구 복정동 620-2번지 가천대학교 비전타워(MEP동)지하2층일부 214-2호,211380.301034505,438771.218762507,분식
1632007,실내포차성남복정점,영업/정상,경기도 성남시 수정구 복정동 690-6 1층,211188.934866996,439453.992356914,한식
