,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1373463,떡볶이참잘하는집 떡참 고성간성점,영업/정상,강원도 고성군 간성읍 상리 460-2,328022.371150733,542818.964393318,분식
1373481,엠에스티(MST),영업/정상,강원도 춘천시 효자동 18-60,265430.405779472,486189.263339428,기타
1373520,피자스톰 강릉점,영업/정상,강원도 강릉시 옥천동 315-6,367544.59888549,474973.419909509,기타
1373589,나인비치37,영업/정상,강원도 동해시 망상동 168-1,385264.659163942,456071.511049938,기타
1373602,템플라도커피,영업/정상,강원도 원주시 지정면 가곡리 1344-4,277677.411101519,430682.929748871,기타
1373603,시크릿가든 혁신점,영업/정상,강원도 원주시 반곡동 1899-1,287155.142699987,425357.656259047,기타
1373615,꽈페강릉점,영업/정상,강원도 강릉시 임당동 126-4,367015.541718148,474092.684274925,기타
1373616,애런스투어리스트센터(aaron's tourist center),영업/정상,강원도 강릉시 옥천동 55-7,367436.420394229,474197.483044184,기타
1373645,정통,영업/정상,강원도 강릉시 임당동 175-1,366645.084307724,474315.30997186,기타
1373654,브라이드그룸,영업/정상,강원도 춘천시 동내면 거두리 1111-8,266731.081468255,483993.218478038,기타
1373708,우리동네참치정육점속초점,영업/정상,강원도 속초시 동명동 518,339047.32493128,524149.459677752,횟집
1373709,한우이야기,영업/정상,강원도 속초시 교동 977-20,337764.24411587,522294.286666905,식육(숯불구이)
1373731,서면식당,영업/정상,강원도 춘천시 서면 서상리 1041,261744.270692434,492809.76863253,한식
1373733,탐앤탐스설악워터피아점,영업/정상,강원도 속초시 장사동 24-9,333861.329823747,523878.780261004,기타
1373734,디피자설악워터피아점,영업/정상,강원도 속초시 장사동 24-9,333861.329823747,523878.780261004,기타
1373735,마왕족발설악워터피아점,영업/정상,강원도 속초시 장사동 24-9,333861.329823747,523878.780261004,한식
1373768,가마골풍경,영업/정상,강원도 횡성군 안흥면 안흥리 401-27,302227.743471139,433100.246324396,탕류(보신용)
1373769,황고을,영업/정상,강원도 횡성군 청일면 유동리 849-7,301602.630917324,454126.490221617,한식
1373778,윤식당,영업/정상,강원도 양구군 양구읍 중리 9-1 보문장여관,286745.143652368,512167.523817391,한식
