번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1373422,로드22,영업/정상,제주특별자치도 제주시 노형동 909-4,152040.956942048,-955.489814044352,호프/통닭
1373423,오레노카츠제주협재점,영업/정상,제주특별자치도 제주시 한림읍 협재리 1607 선유빌딩,129629.728002529,-10763.2515906218,일식
1373591,노을치킨앤포차,영업/정상,제주특별자치도 서귀포시 동홍동 512-11,159663.948359293,-26513.6248003228,분식
1373592,원쭈꾸미,영업/정상,제주특별자치도 서귀포시 남원읍 남원리 1362-7,173328.540734787,-24300.8903217832,한식
1373679,일품양평해장국,영업/정상,제주특별자치도 서귀포시 남원읍 남원리 217-5,173850.221355195,-23739.8300239344,한식
1373680,모먹젠,영업/정상,제주특별자치도 서귀포시 대정읍 하모리 1414-1,130234.730514112,-29719.5097336141,뷔페식
1373765,오늘의감정오감,영업/정상,제주특별자치도 제주시 구좌읍 세화리 22,187020.547244282,2836.99910604924,기타
1373766,윰,영업/정상,제주특별자치도 제주시 아라일동 6150-6,157967.078212331,-2756.48501703891,기타
1373767,진진제과,영업/정상,제주특별자치도 제주시 아라이동 3001-2,157376.096674431,-205.743172476265,기타
1373867,노바운더리,영업/정상,제주특별자치도 서귀포시 표선면 성읍리 2375-1,179779.528783874,-10481.1139441553,중국식
1373868,무운,영업/정상,제주특별자치도 서귀포시 대정읍 인성리 135-1,133219.919461762,-27353.056186422,"외국음식전문점(인도,태국등)"
1373921,요레가,영업/정상,제주특별자치도 서귀포시 서귀동 299-4,159010.865505247,-27031.2727572965,일식
1373922,귤밭사이로수제돈가스동홍점,영업/정상,제주특별자치도 서귀포시 동홍동 1255-8,159648.151866238,-25991.7296245664,한식
1373923,마틴스키친(martin's kitchen),영업/정상,제주특별자치도 서귀포시 법환동 163,154629.977871084,-28854.1381997465,경양식
1373985,벙커포차,영업/정상,제주특별자치도 서귀포시 서홍동 1777-3,157310.93651443,-25986.6741329663,한식
1373986,신빨강아구찜,영업/정상,제주특별자치도 서귀포시 서홍동 2598 서강파인힐6차,158490.154620472,-25754.1649534263,한식
1374093,그리니티,영업/정상,제주특별자치도 제주시 이도이동 1963-3,157621.382428126,-293.270201889405,"외국음식전문점(인도,태국등)"
1374094,커피비원,영업/정상,제주특별자치도 제주시 연동 256-16 성우빌,152291.112422446,-1309.30151011514,기타
1374095,파사삭행목,영업/정상,제주특별자치도 제주시 연동 260-28,152454.257574912,-476.021836713544,기타
1374104,칠돈가본점,영업/정상,제주특별자치도 제주시 노형동 1112,151388.593026083,-157.305169316663,한식
1374158,미드미,영업/정상,제주특별자치도 제주시 건입동 918-25 제주항연안여객터미널,156813.369331199,2754.17982875225,한식
1374159,마카리오스,영업/정상,제주특별자치도 제주시 삼양일동 1580-21,161773.771087287,3609.1773971129,기타
