번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1374295,미나분식,영업/정상,경기도 성남시 수정구 태평동 4145 1층,211531.221073229,438274.999570629,분식
1379950,바른정육,영업/정상,경기도 성남시 수정구 태평동 6419-1 1층 일부,211545.610175294,437716.859280206,한식
1380004,핑크레몬,영업/정상,경기도 성남시 수정구 태평동 1215 1층 일부,212013.372934934,438609.516743768,기타
1380032,상근이 참치정육점,영업/정상,경기도 성남시 수정구 태평동 3543-1 1층 일부,211903.780176475,437949.718389024,횟집
1381644,먹방술방,영업/정상,경기도 성남시 수정구 태평동 3173 1층 일부,211808.381710923,438277.582870991,정종/대포집/소주방
1382288,별이김밥,영업/정상,경기도 성남시 수정구 태평동 3566 101호,211772.416704572,437972.075519682,김밥(도시락)
1382418,카페드삼공이 성남직영점,영업/정상,경기도 성남시 수정구 태평동 2045 1층,212552.146950252,438517.568578465,기타
1382865,일미리금계찜닭 태평점,영업/정상,경기도 성남시 수정구 태평동 3173,211808.381710923,438277.582870991,한식
1384434,101번지 남산돈까스 성남점,영업/정상,경기도 성남시 수정구 태평동 7336 이마트성남점 1층 푸드코트 일부,212442.882832125,438023.009514472,경양식
1385433,백미함,영업/정상,경기도 성남시 수정구 태평동 5219 1층 일부,211214.587849454,438016.845252474,중국식
1386901,막내분식,영업/정상,경기도 성남시 수정구 태평동 3740-31 1층 일부,211515.360808691,437902.767265581,분식
1387799,착한수산,영업/정상,경기도 성남시 수정구 태평동 3688 1층 일부,211653.417959932,437747.084502137,횟집
1390455,가메골 수제왕만두,영업/정상,경기도 성남시 수정구 태평동 3705-36 1층 일부,211590.504342417,437772.455080688,분식
1393223,홍킹콩닭강정,영업/정상,경기도 성남시 수정구 태평동 3681 중앙공설시장 118호,211621.339542445,437703.284225483,호프/통닭
1393596,수정,영업/정상,경기도 성남시 수정구 태평동 5641 지하1층,211397.482197639,438060.136444303,한식
1394651,응급실국물떡볶이 태평점,영업/정상,경기도 성남시 수정구 태평동 3473-3번지 1층 일부,211918.94924613,437982.2752302,분식
1395093,두찜 태평점,영업/정상,경기도 성남시 수정구 태평동 5592 1층,211384.667950799,438167.329185052,한식
1395653,삼겹펀치,영업/정상,경기도 성남시 수정구 태평동 885 1층,211850.045613067,438449.463170579,식육(숯불구이)
1398816,인디안섬머,영업/정상,경기도 성남시 수정구 태평동 5691 1층 일부,211383.184254347,438054.30973234,한식
1451657,채채분식,영업/정상,경기도 성남시 수정구 태평동 6063 1층 일부(102호),211281.297746833,437815.225435831,분식
1453358,진돈카츠,영업/정상,경기도 성남시 수정구 태평동 3318-1 미래맨션 101호 일부,212010.143960781,438061.776270635,경양식
1453550,박씨고기집,영업/정상,"경기도 성남시 수정구 태평동 5113-9 경원프라자,2층 201호",211178.584765467,438529.407295378,식육(숯불구이)
1456679,이박사족발,영업/정상,경기도 성남시 수정구 태평동 7184-1 1층 일부,211055.433923653,437713.126765117,한식
1456680,영미만두,영업/정상,경기도 성남시 수정구 태평동 7220-9 1층 일부(102호),211056.332260042,437643.495692371,분식
1457017,황실민물장어 6호점,영업/정상,경기도 성남시 수정구 태평동 3691-8 1층 일부,211689.411279348,437768.195968482,기타
1459778,스시호시,영업/정상,경기도 성남시 수정구 태평동 3652 101호,211749.287585707,437776.038929759,일식
